gps_sow,  rssi, ber
392269.8500,  -76, 0.0
392270.1000,  -71, 0.0
392270.3500,  -77, 0.0
392270.6000,  -74, 0.0
392270.8700,  -73, 0.0
392270.8800,  -75, 0.0
392270.9000,  -74, 0.0
392271.1000,  -77, 0.0
392271.3600,  -74, 0.0
392271.6100,  -69, 0.0
392271.8500,  -80, 0.0
392271.8600,  -79, 0.0
392271.8900,  -79, 0.0
392272.1100,  -77, 0.0
392272.3600,  -79, 0.0
392272.6100,  -76, 0.0
392272.9000,  -69, 0.0
392273.1100,  -70, 0.0
392273.1200,  -70, 0.0
392273.3600,  -68, 0.0
392273.6100,  -69, 0.0
392273.6200,  -68, 0.0
392273.6300,  -70, 0.0
392273.8600,  -72, 0.0
392273.8700,  -71, 0.0
392274.1100,  -63, 0.0
392274.1200,  -65, 0.0
392274.3600,  -71, 0.0
392274.6100,  -61, 0.0
392274.8800,  -66, 0.0
392275.1100,  -56, 0.0
392275.3600,  -58, 0.0
392275.3700,  -61, 0.0
392275.6200,  -56, 0.0
392275.8600,  -55, 0.0
392276.1600,  -51, 0.0
392276.3600,  -50, 0.0
392276.6200,  -49, 0.0
392276.8700,  -48, 0.0
392277.3700,  -49, 0.0
392277.6200,  -51, 0.0
392277.8700,  -50, 0.0
392278.1200,  -54, 0.0
392278.3700,  -56, 0.0
392278.6200,  -61, 0.0
392278.8700,  -65, 0.0
392279.1200,  -62, 0.0
392279.4000,  -66, 0.0
392279.6300,  -61, 0.0
392279.6310,  -63, 0.0
392279.6400,  -66, 0.0
392279.6500,  -63, 0.0
392279.6600,  -64, 0.0
392279.8800,  -67, 0.0
392279.8900,  -67, 0.0
392280.1300,  -68, 0.0
392280.3800,  -66, 0.0
392280.6300,  -64, 0.0
392280.8800,  -68, 0.0
392281.1300,  -65, 0.0
392281.6300,  -62, 0.0
392281.8800,  -62, 0.0
392282.1300,  -62, 0.0
392282.3800,  -66, 0.0
392282.4400,  -65, 0.0
392282.6300,  -61, 0.0
392282.8800,  -64, 0.0
392283.1300,  -62, 0.0
392283.3800,  -64, 0.0
392283.6600,  -62, 0.0
392283.8900,  -60, 0.0
392284.1400,  -62, 0.0
392284.1410,  -62, 0.0
392284.3900,  -61, 0.0
392284.6400,  -60, 0.0
392284.6700,  -60, 0.0
392284.8900,  -60, 0.0
392284.9000,  -61, 0.0
392285.1400,  -62, 0.0
392285.3900,  -60, 0.0
392285.8900,  -60, 0.0
392285.9000,  -61, 0.0
392285.9100,  -62, 0.0
392286.1400,  -62, 0.0
392286.3900,  -63, 0.0
392286.6400,  -63, 0.0
392286.6500,  -61, 0.0
392286.9000,  -62, 0.0
392287.1400,  -61, 0.0
392287.3900,  -61, 0.0
392287.6400,  -64, 0.0
392287.6500,  -63, 0.0
392287.6600,  -62, 0.0
392287.9000,  -62, 0.0
392288.1500,  -62, 0.0
392288.4000,  -63, 0.0
392288.6500,  -62, 0.0
392288.9000,  -62, 0.0
392289.1500,  -63, 0.0
392289.4000,  -65, 0.0
392289.6500,  -64, 0.0
392289.9100,  -66, 0.0
392290.1500,  -66, 0.0
392290.4100,  -67, 0.0
392290.6600,  -68, 0.0
392290.9100,  -69, 0.0
392290.9700,  -68, 0.0
392291.1600,  -68, 0.0
392291.4100,  -68, 0.0
392291.6600,  -69, 0.0
392291.9000,  -68, 0.0
392291.9100,  -70, 0.0
392292.1900,  -68, 0.0
392292.4100,  -68, 0.0
392292.6500,  -69, 0.0
392292.7000,  -69, 0.0
392292.9100,  -70, 0.0
392293.4100,  -69, 0.0
392293.6600,  -70, 0.0
392293.9100,  -71, 0.0
392294.1900,  -68, 0.0
392294.4100,  -68, 0.0
392294.6700,  -76, 0.0
392294.9200,  -68, 0.0
392295.1700,  -66, 0.0
392295.1710,  -66, 0.0
392295.1800,  -66, 0.0
392295.1900,  -66, 0.0
392295.1910,  -66, 0.0
392295.4100,  -65, 0.0
392295.6700,  -73, 0.0
392295.9200,  -66, 0.0
392296.1700,  -63, 0.0
392296.4600,  -66, 0.0
392296.6700,  -63, 0.0
392296.6710,  -66, 0.0
392296.9300,  -68, 0.0
392296.9400,  -67, 0.0
392296.9800,  -65, 0.0
392297.1700,  -67, 0.0
392297.4300,  -66, 0.0
392297.6700,  -66, 0.0
392297.6800,  -67, 0.0
392297.7300,  -65, 0.0
392297.9200,  -68, 0.0
392298.1700,  -67, 0.0
392298.4200,  -69, 0.0
392298.6800,  -67, 0.0
392298.7000,  -67, 0.0
392298.9200,  -65, 0.0
392299.1800,  -63, 0.0
392299.4300,  -64, 0.0
392299.4310,  -66, 0.0
392299.4400,  -68, 0.0
392299.6900,  -62, 0.0
392299.9300,  -70, 0.0
392300.1800,  -64, 0.0
392300.1900,  -64, 0.0
392300.2000,  -64, 0.0
392300.2010,  -67, 0.0
392300.4300,  -69, 0.0
392300.4400,  -67, 0.0
392300.6900,  -64, 0.0
392300.9300,  -68, 0.0
392301.1800,  -68, 0.0
392301.4300,  -63, 0.0
392301.6800,  -63, 0.0
392301.9300,  -65, 0.0
392301.9400,  -62, 0.0
392301.9500,  -63, 0.0
392301.9510,  -63, 0.0
392302.1800,  -66, 0.0
392302.4400,  -62, 0.0
392302.6900,  -66, 0.0
392302.9500,  -64, 0.0
392302.9800,  -66, 0.0
392303.1900,  -65, 0.0
392303.4400,  -65, 0.0
392303.6900,  -63, 0.0
392303.6910,  -63, 0.0
392303.9400,  -66, 0.0
392304.1900,  -62, 0.0
392304.4300,  -65, 0.0
392304.6900,  -63, 0.0
392304.7100,  -65, 0.0
392304.9400,  -64, 0.0
392305.1900,  -63, 0.0
392305.4500,  -65, 0.0
392305.4510,  -64, 0.0
392305.4600,  -65, 0.0
392305.4800,  -64, 0.0
392305.6900,  -62, 0.0
392305.7000,  -65, 0.0
392305.7100,  -62, 0.0
392305.7110,  -64, 0.0
392305.9400,  -63, 0.0
392306.1900,  -65, 0.0
392306.4500,  -64, 0.0
392306.7000,  -63, 0.0
392306.9500,  -65, 0.0
392307.2100,  -66, 0.0
392307.2200,  -66, 0.0
392307.4500,  -66, 0.0
392307.7000,  -64, 0.0
392307.9500,  -68, 0.0
392307.9600,  -68, 0.0
392307.9700,  -67, 0.0
392308.2000,  -68, 0.0
392308.2200,  -68, 0.0
392308.4600,  -67, 0.0
392308.7000,  -63, 0.0
392308.9500,  -61, 0.0
392309.2000,  -64, 0.0
392309.4500,  -66, 0.0
392309.7000,  -66, 0.0
392309.9600,  -65, 0.0
392310.2000,  -62, 0.0
392310.4500,  -62, 0.0
392310.7100,  -62, 0.0
392310.9600,  -61, 0.0
392311.2100,  -61, 0.0
392311.4600,  -60, 0.0
392311.4700,  -62, 0.0
392311.7100,  -60, 0.0
392311.9600,  -64, 0.0
392312.2100,  -60, 0.0
392312.4600,  -64, 0.0
392312.7100,  -64, 0.0
392312.9600,  -62, 0.0
392313.2100,  -61, 0.0
392313.2200,  -62, 0.0
392313.4700,  -61, 0.0
392313.7200,  -65, 0.0
392313.9600,  -60, 0.0
392313.9700,  -59, 0.0
392313.9800,  -61, 0.0
392314.2100,  -61, 0.0
392314.2200,  -62, 0.0
392314.2300,  -62, 0.0
392314.2400,  -61, 0.0
392314.4700,  -60, 0.0
392314.7100,  -63, 0.0
392314.9700,  -60, 0.0
392315.2200,  -63, 0.0
392315.4700,  -71, 0.0
392315.7200,  -79, 0.0
392315.7300,  -80, 0.0
392315.9700,  -72, 0.0
392315.9800,  -74, 0.0
392315.9900,  -72, 0.0
392316.2200,  -65, 0.0
392316.4700,  -60, 0.0
392316.7200,  -54, 0.0
392316.9700,  -56, 0.0
392317.2200,  -52, 0.0
392317.4700,  -53, 0.0
392317.7300,  -56, 0.0
392317.9800,  -58, 0.0
392318.2300,  -55, 0.0
